name,changed_network,status,tv_network,metacritc_last_info_year,tvtime_followers,tvtime_rate,no_seasons,eps_duration,age_rating,imdb_rate,rotten_tomatoes_rate,released_year,awards_won,awards_nominated
Homeland,0.0,end,SHOWTIME,2019,0.027080490503941037,0.8602636212826948,,short,,0.7408187909380382,0.7730164270093905,,10.0,41.0
Home Sweet Home,0.0,,NBC,2020,1.4940200224665967e-05,0.9004424778761063,1.0,normal,,0.7623892984236473,0.7414523897043941,,0.0,0.0
Hooten & The Lady,0.0,canceled,THE CW,2017,0.002912689469887052,0.7676991150442479,1.0,normal,,0.840956490420218,0.7521003716162102,,0.0,0.0
Hostages,0.0,canceled,CBS,2013,0.009481830551280396,0.7743362831858408,1.0,normal,,0.7892196793255309,0.7063273694510047,,0.0,0.0
Hotel Hell,0.0,canceled,FOX,2016,0.0028615896546258755,0.7654867256637169,3.0,normal,,0.7957948055156775,0.7123913026173463,,0.0,0.0
Hot Girls Wanted: Turned On,0.0,canceled,NETFLIX,2016,0.003430832935649743,0.7013274336283186,1.0,normal,18+,0.6363636363636364,1.0,2017.0,0.0,0.0
Hot in Cleveland,0.0,canceled,TVL,2014,0.003459630712894389,0.7654867256637169,6.0,short,,0.8329266823226796,0.8493125090784847,,1.0,7.0
Hotwives of Las Vegas,0.0,canceled,HULU,2015,0.0015682158702539082,0.6902655218906484,,normal,,0.6662162636686196,0.7682028694897174,,0.0,0.0
Houdini and Doyle,0.0,canceled,FOX,2015,0.0009902754453262291,0.6902654867256638,,normal,,0.6841934200889909,0.7680662280624609,,0.0,0.0
House of Cards,0.0,delayed,NETFLIX,2018,0.0014002648529407944,0.5796460176991152,3.0,normal,18+,0.8961038961038961,0.7659574468085106,2013.0,7.0,58.0
Howards End,0.0,end,STRZ,2017,0.0025766432271525364,0.668141592920354,1.0,normal,7+,0.7142857142857143,0.8936170212765957,2017.0,0.0,1.0
How I Met Your Mother,0.0,end,CBS,2013,0.027608308980763156,0.7336805086097595,,short,16+,0.8441558441558442,0.8191489361702128,2005.0,10.0,30.0
How to Get Away With Murder,0.0,end,ABC,2019,0.03379278337443169,0.8512390360907687,,normal,16+,0.8181818181818181,0.8723404255319149,2014.0,1.0,9.0
How to Sell Drugs Online (Fast),0.0,renewed,NETFLIX,2020,0.03229984678716407,0.8761061946902656,1.0,short,,0.7922077922077922,0.7968110252651465,2019.0,0.0,0.0
Huge in France,0.0,,NETFLIX,2018,0.004129557951954048,0.422566371681416,1.0,short,16+,0.6493506493506493,0.46808510638297873,2019.0,0.0,0.0
Human Resources,0.0,,NETFLIX,2020,0.0,0.7047407619325651,0.0,short,,0.8251420734143367,0.7447791412215777,,0.0,0.0
Humans,0.0,canceled,AMC,2018,0.03354941049001259,0.9247787610619469,3.0,normal,16+,0.8051948051948052,0.9361702127659575,2015.0,0.0,0.0
Hunted,0.0,delayed,CBS,2016,0.0026491789818664942,0.7876106194690267,1.0,normal,18+,0.6233766233766234,0.7446808510638298,2012.0,0.0,0.0
Hypnotize Me,0.0,canceled,THE CW,2019,0.001508820980570225,0.7091604527154705,,normal,,0.6928169515033337,0.7785800230153791,,0.0,0.0
I Am Not Okay With This,0.0,,NETFLIX,2019,7.405142720051827e-05,0.6195545855490755,0.0,normal,18+,0.7532467532467532,0.8404255319148937,2020.0,0.0,0.0
I Am the Night,0.0,,TNT,2018,0.011102734013336186,0.838495575221239,1.0,normal,7+,0.6753246753246753,0.723404255319149,2019.0,0.0,0.0
I Can Do That!,0.0,canceled,NBC,2014,0.004220714825788605,0.7396755162241887,,normal,,0.6680575738399025,0.7673967887962262,,0.0,0.0
I Feel Bad,0.0,canceled,NBC,2018,0.0020292689348633255,0.6128318584070797,1.0,short,,0.8234139410275978,0.7424077632968566,,0.0,0.0
I Hate Suzie,0.0,,HBO,2020,0.00023990930215840424,0.8838114379204522,,normal,,0.6849914150086759,0.7723353696119545,,0.0,0.0
I Hear You,0.0,,NETFLIX,2018,0.000687898784257446,0.9446902654867256,1.0,normal,all,0.7792207792207793,0.7974820102207835,2019.0,0.0,0.0
I Know This Much Is True,0.0,end,HBO,2019,5.478073415710855e-05,0.7487635066984363,0.0,short,,0.807032847562986,0.7230299031349964,,0.0,0.0
I'll Be Gone in the Dark,0.0,end,HBO,2020,4.806847028805572e-05,0.9210914907840466,,normal,,0.6997970168750892,0.7750112964252103,,0.0,0.0
Ill Behaviour,0.0,canceled,SHOWTIME,2017,0.00011865550323357899,0.7721238938053099,1.0,normal,,0.8379742536948728,0.7472715015841481,,0.0,0.0
I Love Dick,0.0,canceled,AMAZON,2016,0.002543731481730084,0.5995575221238939,1.0,short,18+,0.5714285714285715,0.8617021276595744,2016.0,0.0,0.0
"I Love You, America",0.0,canceled,HULU,2018,0.0004142116381128405,0.6504424778761062,1.0,short,18+,0.5064935064935066,0.925531914893617,2017.0,0.0,0.0
I May Destroy You,0.0,,HBO,2020,0.00023990930215840424,0.8838114379204522,,normal,,0.6849914150086759,0.7723353696119545,,0.0,0.0
Immortals,0.0,,NETFLIX,2018,0.0026240621235177806,0.6526548672566372,1.0,normal,7+,0.4805194805194805,0.6127281247199111,2018.0,0.0,0.0
Impastor,0.0,canceled,TVL,2016,0.0036837337162643783,0.7853982300884957,2.0,short,,0.8385484812460362,0.8406600671822322,,0.0,0.0
Impulse,0.0,canceled,YT,2019,0.008345509235642035,0.9380530973451329,2.0,normal,,0.8343897653029232,0.8485474263373376,,0.0,0.0
In an Instant,0.0,canceled,ABC,2014,1.1475805969670961e-05,0.9646017699115044,3.0,normal,,0.7763090940491281,0.690945796173489,,0.0,0.0
Indebted,0.0,canceled,NBC,2019,0.0001147580596967096,0.8280576558517196,1.0,short,16+,0.3246753246753247,0.20212765957446807,2020.0,0.0,0.0
Industry,0.0,,HBO,2020,0.00023990930215840424,0.8838114379204522,,normal,,0.6849914150086759,0.7723353696119545,,0.0,0.0
Infinity Train,1.0,renewed_but,HBO,2020,0.0015927552587339544,0.9690265486725667,1.0,short,7+,0.8571428571428572,0.7548788600024576,2019.0,0.0,0.0
Informer,0.0,,AMAZON,2018,0.0007600014896895297,0.8716814159292036,1.0,normal,,0.7922077922077922,0.776595744680851,2018.0,0.0,0.0
In From the Cold,0.0,,NETFLIX,2020,0.00168088078759539,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Ingobernable,0.0,renewed,NETFLIX,2018,0.004805980930241823,0.9026548672566372,2.0,normal,,0.8219707420692428,0.7408228545560211,,0.0,0.0
Ingress: The Animation,0.0,,NETFLIX,2018,0.0009362525474124006,0.836283185840708,1.0,short,all,0.6103896103896104,0.6254514551840922,2018.0,0.0,0.0
Inhuman Resources (Dérapages),0.0,,NETFLIX,2019,0.0008622011202118824,0.721976401179941,,normal,,0.6776714671005746,0.7839500934688965,,0.0,0.0
In My Skin,0.0,,HULU,2020,0.0001435558369413556,0.8585945184099587,,normal,,0.6805936024443076,0.7719506229779584,,0.0,0.0
Insatiable,0.0,canceled,NETFLIX,2019,0.005579185021458186,0.859210867241732,,normal,16+,0.6233766233766234,0.05319148936170213,2018.0,0.0,0.0
Insecure,0.0,renewed,HBO,2020,0.014269190362401622,0.7676991150442479,3.0,short,,0.8052288452925334,0.7170889708757145,,0.0,3.0
Inside Job,0.0,,NETFLIX,2020,0.00168088078759539,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Inspector Gadget,0.0,canceled,NETFLIX,2017,0.005061263481906768,0.6792035398230089,2.0,short,7+,0.6493506493506493,0.7688153620115913,1983.0,0.0,0.0
Instinct,0.0,canceled,CBS,2019,0.007754830015165386,0.756637168141593,2.0,normal,,0.7855804073045634,0.7020417204599111,,0.0,0.0
Intelligence,0.0,canceled,CBS,2013,0.01290335292736984,0.7345132743362832,1.0,normal,,0.8311688311688311,0.8233418633133053,2006.0,0.0,0.0
Interrogation,0.0,,CBS,2019,0.0001541036801641529,0.7278761430202436,,normal,,0.7025409712748086,0.7725480023649928,,0.0,0.0
In the Dark,0.0,renewed,THE CW,2020,0.004464305046842941,0.90929203539823,1.0,normal,16+,0.7142857142857143,0.8966274450328174,2019.0,0.0,0.0
In the Long Run,0.0,,STRZ,2020,0.00022561867585654984,0.7367256637168142,2.0,short,,0.8379022282524501,0.7473554643522258,,0.0,0.0
Into the Badlands,0.0,canceled,AMC,2018,0.033264680587180184,0.9314159292035401,3.0,normal,16+,0.8051948051948052,0.8191489361702128,2015.0,0.0,1.0
Into the Dark,0.0,renewed,HULU,2020,0.005144841993308522,0.8119469026548675,2.0,long,18+,0.5844155844155844,0.723404255319149,2018.0,0.0,0.0
Into the Night,0.0,renewed,NETFLIX,2020,0.0037572036792838286,0.9286473370654525,,normal,18+,0.7012987012987013,0.8191489361702128,2020.0,0.0,0.0
Invasion,0.0,delayed,APPLE,2020,0.003033293694889066,0.838495575221239,1.0,normal,,0.7798277284975311,0.6958882667695026,,0.0,0.0
Inventing Anna,0.0,,NETFLIX,2020,0.00168088078759539,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Invincible,0.0,,AMAZON,2020,2.9952575329644325e-05,0.9201426067104068,,normal,,0.7074203518171642,0.77120253174704,,0.0,0.0
Invisible City,0.0,,NETFLIX,2020,0.00168088078759539,0.6327433628318584,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Ironside,0.0,canceled,NBC,2013,0.0005109981526117635,0.3938053097345133,1.0,normal,7+,0.6623376623376623,0.6783589440268006,1967.0,2.0,13.0
I Think You Should Leave With Tim Robinson,0.0,,NETFLIX,2020,0.0011893698526679734,0.6637168141592921,1.0,short,18+,0.7272727272727273,0.925531914893617,2019.0,0.0,0.0
